Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose006,0.00,-31.32,-0.00,-31.33,-2.68,6.59,3.91,6.59,-27.42
GB5,pose007,0.00,-26.34,-0.00,-26.34,-2.39,9.96,7.58,9.96,-18.76
GB5,pose008,0.00,-29.47,-0.00,-29.48,-2.57,7.10,4.53,7.10,-24.94
GB5,pose009,0.00,-31.75,-0.00,-31.75,-2.80,6.38,3.59,6.38,-28.16
GB5,pose010,0.00,-26.82,-0.00,-26.83,-2.46,7.95,5.49,7.95,-21.34
GB6,pose001,0.00,-29.21,-0.00,-29.22,-2.95,20.78,17.82,20.78,-11.39
GB6,pose002,0.00,-29.15,-0.00,-29.16,-2.75,16.10,13.35,16.10,-15.81
GB6,pose003,0.00,-29.31,-0.00,-29.31,-2.93,26.94,24.01,26.94,-5.31
GB6,pose004,0.00,-25.07,-0.00,-25.08,-2.75,13.79,11.04,13.79,-14.04
GB6,pose005,0.00,-29.71,-0.00,-29.72,-2.93,22.11,19.18,22.11,-10.54
GB6,pose006,0.00,-31.32,-0.00,-31.33,-2.80,12.56,9.76,12.56,-21.57
GB6,pose007,0.00,-26.34,-0.00,-26.34,-2.90,18.65,15.75,18.65,-10.59
GB6,pose008,0.00,-29.47,-0.00,-29.48,-2.74,12.29,9.54,12.29,-19.93
GB6,pose009,0.00,-31.75,-0.00,-31.75,-2.74,10.57,7.83,10.57,-23.92
GB6,pose010,0.00,-26.82,-0.00,-26.83,-2.69,12.39,9.70,12.39,-17.13
GB7,pose001,0.00,-29.21,-0.00,-29.22,-2.79,10.76,7.97,10.76,-21.25
GB7,pose002,0.00,-29.15,-0.00,-29.16,-2.41,11.65,9.23,11.65,-19.92
GB7,pose003,0.00,-29.31,-0.00,-29.31,-2.61,11.75,9.14,11.75,-20.17
GB7,pose004,0.00,-25.07,-0.00,-25.08,-2.34,8.06,5.72,8.06,-19.35
GB7,pose005,0.00,-29.71,-0.00,-29.72,-2.81,11.81,9.00,11.81,-20.72
GB7,pose006,0.00,-31.32,-0.00,-31.33,-2.68,5.21,2.53,5.21,-28.80
GB7,pose007,0.00,-26.34,-0.00,-26.34,-2.39,10.63,8.24,10.63,-18.10
GB7,pose008,0.00,-29.47,-0.00,-29.48,-2.57,7.85,5.29,7.85,-24.19
GB7,pose009,0.00,-31.75,-0.00,-31.75,-2.80,5.32,2.52,5.32,-29.22
GB7,pose010,0.00,-26.82,-0.00,-26.83,-2.46,9.38,6.92,9.38,-19.91
GB8,pose001,0.00,-29.21,-0.00,-29.22,-2.79,11.50,8.71,11.50,-20.51
GB8,pose002,0.00,-29.15,-0.00,-29.16,-2.41,12.81,10.40,12.81,-18.76
GB8,pose003,0.00,-29.31,-0.00,-29.31,-2.61,12.69,10.08,12.69,-19.24
GB8,pose004,0.00,-25.07,-0.00,-25.08,-2.34,9.54,7.21,9.54,-17.87
GB8,pose005,0.00,-29.71,-0.00,-29.72,-2.81,11.80,8.99,11.80,-20.73
GB8,pose006,0.00,-31.32,-0.00,-31.33,-2.68,9.21,6.53,9.21,-24.80
GB8,pose007,0.00,-26.34,-0.00,-26.34,-2.39,11.78,9.39,11.78,-16.95
GB8,pose008,0.00,-29.47,-0.00,-29.48,-2.57,9.93,7.36,9.93,-22.11
GB8,pose009,0.00,-31.75,-0.00,-31.75,-2.80,8.74,5.95,8.74,-25.80
GB8,pose010,0.00,-26.82,-0.00,-26.83,-2.46,10.24,7.78,10.24,-19.04
