Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB6,pose004,0.00,-30.52,-0.01,-30.52,-2.99,26.83,23.84,26.83,-6.68
GB6,pose005,0.00,-28.39,-0.01,-28.39,-2.79,13.13,10.34,13.13,-18.05
GB6,pose006,0.00,-27.21,-0.01,-27.22,-2.87,20.15,17.28,20.15,-9.94
GB6,pose007,0.00,-27.16,-0.01,-27.16,-2.90,12.73,9.83,12.73,-17.33
GB6,pose008,0.00,-29.33,-0.01,-29.33,-2.87,19.80,16.93,19.80,-12.40
GB6,pose009,0.00,-29.94,-0.01,-29.95,-2.62,29.76,27.14,29.76,-2.81
GB6,pose010,0.00,-28.20,-0.01,-28.20,-3.05,21.83,18.78,21.83,-9.42
GB7,pose001,0.00,-30.66,-0.01,-30.67,-2.78,15.90,13.12,15.90,-17.55
GB7,pose002,0.00,-31.74,-0.01,-31.75,-2.63,14.40,11.77,14.40,-19.98
GB7,pose003,0.00,-31.37,-0.01,-31.37,-2.82,14.38,11.56,14.38,-19.81
GB7,pose004,0.00,-30.52,-0.01,-30.52,-2.78,13.67,10.89,13.67,-19.63
GB7,pose005,0.00,-28.39,-0.01,-28.39,-2.59,11.60,9.01,11.60,-19.38
GB7,pose006,0.00,-27.21,-0.01,-27.22,-2.47,14.47,12.00,14.47,-15.21
GB7,pose007,0.00,-27.16,-0.01,-27.16,-2.40,8.83,6.42,8.83,-20.74
GB7,pose008,0.00,-29.33,-0.01,-29.33,-2.42,14.49,12.07,14.49,-17.26
GB7,pose009,0.00,-29.94,-0.01,-29.95,-2.57,13.48,10.91,13.48,-19.05
GB7,pose010,0.00,-28.20,-0.01,-28.20,-2.58,11.40,8.83,11.40,-19.38
GB8,pose001,0.00,-30.66,-0.01,-30.67,-2.78,15.04,12.26,15.04,-18.41
GB8,pose002,0.00,-31.74,-0.01,-31.75,-2.63,14.53,11.90,14.53,-19.85
GB8,pose003,0.00,-31.37,-0.01,-31.37,-2.82,14.79,11.97,14.79,-19.40
GB8,pose004,0.00,-30.52,-0.01,-30.52,-2.78,14.19,11.41,14.19,-19.11
GB8,pose005,0.00,-28.39,-0.01,-28.39,-2.59,14.43,11.84,14.43,-16.56
GB8,pose006,0.00,-27.21,-0.01,-27.22,-2.47,17.60,15.13,17.60,-12.08
GB8,pose007,0.00,-27.16,-0.01,-27.16,-2.40,12.27,9.87,12.27,-17.29
GB8,pose008,0.00,-29.33,-0.01,-29.33,-2.42,13.00,10.58,13.00,-18.75
GB8,pose009,0.00,-29.94,-0.01,-29.95,-2.57,18.96,16.39,18.96,-13.57
GB8,pose010,0.00,-28.20,-0.01,-28.20,-2.58,12.36,9.79,12.36,-18.42
