Program,Pose,Score
AutoDock-Vina,pose001,-7.2440
AutoDock-Vina,pose002,-6.9130
AutoDock-Vina,pose003,-6.7690
AutoDock-Vina,pose004,-6.7300
AutoDock-Vina,pose005,-6.5900
AutoDock-Vina,pose006,-6.3840
AutoDock-Vina,pose007,-6.3160
AutoDock-Vina,pose008,-6.3050
AutoDock-Vina,pose009,-6.0100
AutoDock-Vina,pose010,-6.0090
