Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose007,0.00,-31.43,-0.00,-31.43,-3.29,24.54,21.26,24.54,-10.17
GB5,pose008,0.00,-34.46,0.00,-34.46,-3.38,31.20,27.82,31.20,-6.64
GB5,pose009,0.00,-28.87,0.00,-28.87,-3.30,30.11,26.81,30.11,-2.06
GB5,pose010,0.00,-28.44,-0.00,-28.44,-3.27,27.58,24.31,27.58,-4.12
GB6,pose001,0.00,-32.43,0.00,-32.43,-2.90,113.96,111.06,113.96,78.63
GB6,pose002,0.00,-30.26,0.00,-30.26,-2.87,108.69,105.82,108.69,75.56
GB6,pose003,0.00,-34.40,-0.00,-34.40,-2.78,143.35,140.57,143.35,106.17
GB6,pose004,0.00,-32.97,-0.00,-32.97,-2.88,147.67,144.79,147.67,111.82
GB6,pose005,0.00,-31.79,0.00,-31.79,-3.04,106.64,103.60,106.64,71.81
GB6,pose006,0.00,-34.00,-0.00,-34.00,-2.85,105.79,102.94,105.79,68.94
GB6,pose007,0.00,-31.43,-0.00,-31.43,-3.07,146.58,143.52,146.58,112.09
GB6,pose008,0.00,-34.46,0.00,-34.46,-2.71,142.75,140.04,142.75,105.58
GB6,pose009,0.00,-28.87,0.00,-28.87,-2.82,127.56,124.74,127.56,95.86
GB6,pose010,0.00,-28.44,-0.00,-28.44,-2.89,99.34,96.45,99.34,68.01
GB7,pose001,0.00,-32.43,0.00,-32.43,-3.24,46.72,43.48,46.72,11.05
GB7,pose002,0.00,-30.26,0.00,-30.26,-3.18,38.76,35.58,38.76,5.32
GB7,pose003,0.00,-34.40,-0.00,-34.40,-3.42,58.66,55.24,58.66,20.84
GB7,pose004,0.00,-32.97,-0.00,-32.97,-3.37,32.91,29.54,32.91,-3.43
GB7,pose005,0.00,-31.79,0.00,-31.79,-3.17,31.07,27.90,31.07,-3.89
GB7,pose006,0.00,-34.00,-0.00,-34.00,-3.26,46.05,42.79,46.05,8.79
GB7,pose007,0.00,-31.43,-0.00,-31.43,-3.29,29.39,26.10,29.39,-5.32
GB7,pose008,0.00,-34.46,0.00,-34.46,-3.38,54.81,51.43,54.81,16.97
GB7,pose009,0.00,-28.87,0.00,-28.87,-3.30,33.40,30.10,33.40,1.23
GB7,pose010,0.00,-28.44,-0.00,-28.44,-3.27,38.76,35.49,38.76,7.06
GB8,pose001,0.00,-32.43,0.00,-32.43,-3.24,42.59,39.35,42.59,6.93
GB8,pose002,0.00,-30.26,0.00,-30.26,-3.18,35.53,32.35,35.53,2.09
GB8,pose003,0.00,-34.40,-0.00,-34.40,-3.42,30.94,27.52,30.94,-6.88
GB8,pose004,0.00,-32.97,-0.00,-32.97,-3.37,38.65,35.28,38.65,2.32
GB8,pose005,0.00,-31.79,0.00,-31.79,-3.17,36.33,33.16,36.33,1.37
GB8,pose006,0.00,-34.00,-0.00,-34.00,-3.26,29.66,26.40,29.66,-7.61
GB8,pose007,0.00,-31.43,-0.00,-31.43,-3.29,26.61,23.33,26.61,-8.10
GB8,pose008,0.00,-34.46,0.00,-34.46,-3.38,28.09,24.71,28.09,-9.74
GB8,pose009,0.00,-28.87,0.00,-28.87,-3.30,31.40,28.10,31.40,-0.77
GB8,pose010,0.00,-28.44,-0.00,-28.44,-3.27,26.70,23.43,26.70,-5.00
