Program,Pose,Score
AutoDock-Vina,pose001,-7.1170
AutoDock-Vina,pose002,-6.9630
AutoDock-Vina,pose003,-6.7970
AutoDock-Vina,pose004,-6.6280
AutoDock-Vina,pose005,-6.4780
AutoDock-Vina,pose006,-6.2210
AutoDock-Vina,pose007,-6.1800
AutoDock-Vina,pose008,-6.1540
AutoDock-Vina,pose009,-6.1080
AutoDock-Vina,pose010,-6.0780
