Program,Pose,Score
AutoDock-Vina,pose001,-4.9320
AutoDock-Vina,pose002,-4.7840
AutoDock-Vina,pose003,-4.6930
AutoDock-Vina,pose004,-4.6690
AutoDock-Vina,pose005,-4.5780
AutoDock-Vina,pose006,-4.4660
AutoDock-Vina,pose007,-4.2340
AutoDock-Vina,pose008,-4.2160
AutoDock-Vina,pose009,-4.1880
AutoDock-Vina,pose010,-4.0280
