Program,Pose,Score
AutoDock-Vina,pose001,-5.1810
AutoDock-Vina,pose002,-4.9110
AutoDock-Vina,pose003,-4.7480
AutoDock-Vina,pose004,-4.3700
AutoDock-Vina,pose005,-4.3510
AutoDock-Vina,pose006,-4.2480
AutoDock-Vina,pose007,-4.2060
AutoDock-Vina,pose008,-4.0790
AutoDock-Vina,pose009,-4.0780
AutoDock-Vina,pose010,-3.9840
