Program,Pose,Score
AutoDock-Vina,pose001,-4.8080
AutoDock-Vina,pose002,-4.7280
AutoDock-Vina,pose003,-4.6810
AutoDock-Vina,pose004,-4.6700
AutoDock-Vina,pose005,-4.6490
AutoDock-Vina,pose006,-4.5040
AutoDock-Vina,pose007,-4.3210
AutoDock-Vina,pose008,-4.2860
AutoDock-Vina,pose009,-4.2000
AutoDock-Vina,pose010,-4.1980
