Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB6,pose004,0.00,-32.79,-0.01,-32.80,-2.96,22.76,19.80,22.76,-13.00
GB6,pose005,0.00,-30.64,-0.01,-30.65,-3.07,21.65,18.58,21.65,-12.07
GB6,pose006,0.00,-29.55,-0.01,-29.56,-3.01,18.32,15.31,18.32,-14.25
GB6,pose007,0.00,-29.23,-0.01,-29.24,-2.89,12.28,9.40,12.28,-19.85
GB6,pose008,0.00,-31.19,-0.01,-31.20,-2.90,17.68,14.77,17.68,-16.43
GB6,pose009,0.00,-26.99,-0.01,-27.00,-2.94,11.13,8.19,11.13,-18.82
GB6,pose010,0.00,-31.01,-0.01,-31.02,-3.06,16.50,13.44,16.50,-17.58
GB7,pose001,0.00,-30.59,-0.01,-30.60,-2.84,14.44,11.60,14.44,-19.00
GB7,pose002,0.00,-31.56,-0.01,-31.56,-2.91,15.24,12.32,15.24,-19.24
GB7,pose003,0.00,-31.35,-0.01,-31.36,-2.50,11.28,8.78,11.28,-22.58
GB7,pose004,0.00,-32.79,-0.01,-32.80,-2.53,13.09,10.56,13.09,-22.24
GB7,pose005,0.00,-30.64,-0.01,-30.65,-2.53,11.26,8.73,11.26,-21.91
GB7,pose006,0.00,-29.55,-0.01,-29.56,-2.59,11.03,8.44,11.03,-21.11
GB7,pose007,0.00,-29.23,-0.01,-29.24,-2.33,7.65,5.33,7.65,-23.92
GB7,pose008,0.00,-31.19,-0.01,-31.20,-2.48,13.20,10.72,13.20,-20.48
GB7,pose009,0.00,-26.99,-0.01,-27.00,-2.16,6.79,4.63,6.79,-22.38
GB7,pose010,0.00,-31.01,-0.01,-31.02,-2.30,9.40,7.10,9.40,-23.92
GB8,pose001,0.00,-30.59,-0.01,-30.60,-2.84,15.50,12.66,15.50,-17.93
GB8,pose002,0.00,-31.56,-0.01,-31.56,-2.91,16.98,14.07,16.98,-17.50
GB8,pose003,0.00,-31.35,-0.01,-31.36,-2.50,11.66,9.16,11.66,-22.20
GB8,pose004,0.00,-32.79,-0.01,-32.80,-2.53,13.44,10.91,13.44,-21.89
GB8,pose005,0.00,-30.64,-0.01,-30.65,-2.53,11.50,8.97,11.50,-21.68
GB8,pose006,0.00,-29.55,-0.01,-29.56,-2.59,12.19,9.60,12.19,-19.96
GB8,pose007,0.00,-29.23,-0.01,-29.24,-2.33,8.00,5.67,8.00,-23.57
GB8,pose008,0.00,-31.19,-0.01,-31.20,-2.48,12.25,9.77,12.25,-21.42
GB8,pose009,0.00,-26.99,-0.01,-27.00,-2.16,7.51,5.35,7.51,-21.65
GB8,pose010,0.00,-31.01,-0.01,-31.02,-2.30,10.70,8.40,10.70,-22.62
