Program,Pose,Score
AutoDock-Vina,pose001,-7.1200
AutoDock-Vina,pose002,-7.0630
AutoDock-Vina,pose003,-7.0540
AutoDock-Vina,pose004,-7.0140
AutoDock-Vina,pose005,-7.0110
AutoDock-Vina,pose006,-6.9680
AutoDock-Vina,pose007,-6.5440
AutoDock-Vina,pose008,-6.5170
AutoDock-Vina,pose009,-6.4790
AutoDock-Vina,pose010,-6.3820
