Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose007,0.00,-16.86,-0.00,-16.86,-1.54,4.56,3.02,4.56,-13.85
GB5,pose008,0.00,-17.75,-0.00,-17.75,-1.61,5.53,3.92,5.53,-13.83
GB5,pose009,0.00,-17.34,0.00,-17.34,-1.54,5.45,3.90,5.45,-13.44
GB5,pose010,0.00,-15.26,0.00,-15.26,-1.43,4.53,3.09,4.53,-12.17
GB6,pose001,0.00,-21.56,0.00,-21.56,-1.77,4.18,2.41,4.18,-19.15
GB6,pose002,0.00,-18.36,0.00,-18.36,-1.87,12.75,10.88,12.75,-7.47
GB6,pose003,0.00,-19.14,0.00,-19.14,-1.81,5.46,3.64,5.46,-15.50
GB6,pose004,0.00,-18.85,-0.00,-18.86,-1.86,12.88,11.02,12.88,-7.84
GB6,pose005,0.00,-20.38,-0.00,-20.38,-1.77,12.38,10.61,12.38,-9.77
GB6,pose006,0.00,-22.15,0.00,-22.15,-1.82,18.40,16.58,18.40,-5.57
GB6,pose007,0.00,-16.86,-0.00,-16.86,-1.84,9.91,8.08,9.91,-8.79
GB6,pose008,0.00,-17.75,-0.00,-17.75,-1.99,14.60,12.61,14.60,-5.14
GB6,pose009,0.00,-17.34,0.00,-17.34,-1.81,9.39,7.58,9.39,-9.76
GB6,pose010,0.00,-15.26,0.00,-15.26,-1.81,10.25,8.44,10.25,-6.82
GB7,pose001,0.00,-21.56,0.00,-21.56,-1.94,3.83,1.88,3.83,-19.68
GB7,pose002,0.00,-18.36,0.00,-18.36,-1.56,6.92,5.36,6.92,-12.99
GB7,pose003,0.00,-19.14,0.00,-19.14,-1.84,4.11,2.27,4.11,-16.87
GB7,pose004,0.00,-18.85,-0.00,-18.86,-1.62,6.67,5.05,6.67,-13.81
GB7,pose005,0.00,-20.38,-0.00,-20.38,-1.55,7.33,5.78,7.33,-14.60
GB7,pose006,0.00,-22.15,0.00,-22.15,-2.00,4.38,2.38,4.38,-19.77
GB7,pose007,0.00,-16.86,-0.00,-16.86,-1.54,5.00,3.46,5.00,-13.40
GB7,pose008,0.00,-17.75,-0.00,-17.75,-1.61,6.03,4.42,6.03,-13.33
GB7,pose009,0.00,-17.34,0.00,-17.34,-1.54,5.82,4.28,5.82,-13.06
GB7,pose010,0.00,-15.26,0.00,-15.26,-1.43,4.89,3.46,4.89,-11.80
GB8,pose001,0.00,-21.56,0.00,-21.56,-1.94,4.17,2.22,4.17,-19.34
GB8,pose002,0.00,-18.36,0.00,-18.36,-1.56,6.70,5.14,6.70,-13.22
GB8,pose003,0.00,-19.14,0.00,-19.14,-1.84,4.78,2.95,4.78,-16.20
GB8,pose004,0.00,-18.85,-0.00,-18.86,-1.62,6.42,4.80,6.42,-14.06
GB8,pose005,0.00,-20.38,-0.00,-20.38,-1.55,7.69,6.14,7.69,-14.24
GB8,pose006,0.00,-22.15,0.00,-22.15,-2.00,5.44,3.44,5.44,-18.71
GB8,pose007,0.00,-16.86,-0.00,-16.86,-1.54,5.68,4.14,5.68,-12.72
GB8,pose008,0.00,-17.75,-0.00,-17.75,-1.61,5.68,4.07,5.68,-13.68
GB8,pose009,0.00,-17.34,0.00,-17.34,-1.54,6.13,4.58,6.13,-12.75
GB8,pose010,0.00,-15.26,0.00,-15.26,-1.43,5.86,4.43,5.86,-10.83
