Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
GB5,pose007,0.00,-20.14,0.03,-20.11,-1.85,5.99,4.13,5.99,-15.98
GB5,pose008,0.00,-17.86,0.03,-17.83,-1.68,6.90,5.22,6.90,-12.61
GB5,pose009,0.00,-16.69,0.03,-16.66,-1.60,6.56,4.96,6.56,-11.70
GB5,pose010,0.00,-20.17,0.03,-20.14,-1.72,6.80,5.08,6.80,-15.06
GB6,pose001,0.00,-23.89,0.03,-23.86,-1.77,21.16,19.40,21.16,-4.46
GB6,pose002,0.00,-23.02,0.03,-22.99,-1.78,22.54,20.76,22.54,-2.23
GB6,pose003,0.00,-23.47,0.03,-23.45,-1.76,20.66,18.90,20.66,-4.55
GB6,pose004,0.00,-20.33,0.03,-20.30,-1.83,10.19,8.36,10.19,-11.94
GB6,pose005,0.00,-17.79,0.03,-17.76,-1.92,10.65,8.72,10.65,-9.04
GB6,pose006,0.00,-16.87,0.03,-16.85,-2.01,13.84,11.82,13.84,-5.02
GB6,pose007,0.00,-20.14,0.03,-20.11,-1.94,25.61,23.66,25.61,3.55
GB6,pose008,0.00,-17.86,0.03,-17.83,-2.02,15.21,13.19,15.21,-4.64
GB6,pose009,0.00,-16.69,0.03,-16.66,-1.87,11.34,9.47,11.34,-7.19
GB6,pose010,0.00,-20.17,0.03,-20.14,-1.91,15.56,13.65,15.56,-6.49
GB7,pose001,0.00,-23.89,0.03,-23.86,-1.84,7.21,5.37,7.21,-18.49
GB7,pose002,0.00,-23.02,0.03,-22.99,-1.96,8.19,6.23,8.19,-16.76
GB7,pose003,0.00,-23.47,0.03,-23.45,-1.88,7.08,5.20,7.08,-18.25
GB7,pose004,0.00,-20.33,0.03,-20.30,-1.75,9.73,7.99,9.73,-12.32
GB7,pose005,0.00,-17.79,0.03,-17.76,-1.76,7.82,6.06,7.82,-11.70
GB7,pose006,0.00,-16.87,0.03,-16.85,-1.65,8.52,6.87,8.52,-9.98
GB7,pose007,0.00,-20.14,0.03,-20.11,-1.85,6.86,5.00,6.86,-15.11
GB7,pose008,0.00,-17.86,0.03,-17.83,-1.68,8.74,7.05,8.74,-10.77
GB7,pose009,0.00,-16.69,0.03,-16.66,-1.60,9.41,7.81,9.41,-8.85
GB7,pose010,0.00,-20.17,0.03,-20.14,-1.72,8.47,6.75,8.47,-13.40
GB8,pose001,0.00,-23.89,0.03,-23.86,-1.84,12.22,10.38,12.22,-13.48
GB8,pose002,0.00,-23.02,0.03,-22.99,-1.96,12.97,11.02,12.97,-11.98
GB8,pose003,0.00,-23.47,0.03,-23.45,-1.88,11.80,9.92,11.80,-13.53
GB8,pose004,0.00,-20.33,0.03,-20.30,-1.75,9.49,7.74,9.49,-12.56
GB8,pose005,0.00,-17.79,0.03,-17.76,-1.76,9.88,8.12,9.88,-9.64
GB8,pose006,0.00,-16.87,0.03,-16.85,-1.65,7.98,6.34,7.98,-10.51
GB8,pose007,0.00,-20.14,0.03,-20.11,-1.85,11.15,9.29,11.15,-10.82
GB8,pose008,0.00,-17.86,0.03,-17.83,-1.68,8.08,6.40,8.08,-11.43
GB8,pose009,0.00,-16.69,0.03,-16.66,-1.60,11.48,9.88,11.48,-6.78
GB8,pose010,0.00,-20.17,0.03,-20.14,-1.72,10.96,9.24,10.96,-10.90
