Program,Pose,Score
AutoDock-Vina,pose001,-7.5180
AutoDock-Vina,pose002,-7.2090
AutoDock-Vina,pose003,-6.7900
AutoDock-Vina,pose004,-6.6410
AutoDock-Vina,pose005,-6.2790
AutoDock-Vina,pose006,-6.1030
AutoDock-Vina,pose007,-6.0310
AutoDock-Vina,pose008,-5.9300
AutoDock-Vina,pose009,-5.9270
AutoDock-Vina,pose010,-5.8330
